rowid,ingredient
3051,Non-stick spray (optional)
3052,1.5 lb. acorn squash
3053,"2 bell peppers (preferable red, yellow, or orange)"
3054,1 tsp coarse deli mustard (or Dijon)
3055,12 oz. smoked sausage
3056,1 lb. broccoli crown
3057,1 handful chopped parsley
3058,"2 medium sweet potatoes, about 2 lbs."
3059,"1/8 tsp cayenne pepper, optional"
3060,"Freshly cracked pepper, 10-15 cranks of a pepper mill"
3061,1 28oz. can whole peeled tomatoes
3062,"1 handful fresh parsley, chopped"
3063,"2 large eggs, whites only"
3064,1/8 tsp cream of tartar
3065,pinch of salt
3066,2/3 cup slivered almonds
3067,1/4 cup granulated sugar
3068,2 oz. dark chocolate
3069,"2-3 squares graham crackers, crushed"
3070,2 cups uncooked elbow macaroni
3071,1 cup shredded cheese
3072,3 links Italian sausage (about 12 oz.)
3073,1/4 lb. frozen broccoli
3074,2 cups long grain brown rice
3075,1/4 cup Dijon mustard
3076,2 lbs chicken thighs- 8 pieces
3077,1 medium sweet potato (1 lb.)
3078,1/2 cup cooked seasoned rice
3079,1/2 cup frozen chopped spinach
3080,pinch of salt and pepper
3081,splash of hot sauce
3082,1/2 head purple cabbage
3083,2 -3 oz bricks ramen noodles
3084,2 Tbsp Sriracha or less
3085,handful cilantro (optional)
3086,1 1/2 cups old-fashioned rolled oats
3087,1/4 cup room temperature butter
3088,1 cup plain or vanilla soy milk
3089,1/3 cup sweetened shredded coconut
3090,8 oz uncooked vermicelli noodles
3091,28 oz can whole peeled tomatoes
3092,1 medium jalapeño (optional)
3093,2-3 cups tortilla strips
3094,1 cup uncooked long grain white rice*
3095,1.5-2 cups precooked shredded chicken**
3096,1 Tbsp chili powder***
3097,1 3/4 cups chicken broth****
3098,3/4 cup plain yogurt
3099,as needed non-stick spray
3100,1 head iceberg lettuce
